=== Case 0 ===
  Agent: Planner
  step 0: [1:0.3580, user:0.1162, \n\n:0.0622, 俍:0.0377, 0:0.0259]
  step 27: [\n\n:0.2886,  to:0.2886, .:0.0937, ,:0.0730,  is:0.0568]
  step 28: [ to:0.2844, \n\n:0.2510, .:0.1046, ,:0.0719,  is:0.0635]
  step 29: [ to:0.2693, \n\n:0.2377, .:0.1123, ,:0.0772,  is:0.0681]
  step 30: [ to:0.2600, \n\n:0.2294, .:0.1228, ,:0.0745,  is:0.0657]
  step 31: [ to:0.2614, \n\n:0.2036, .:0.1235,  is:0.0749, ,:0.0749]
  step 32: [ to:0.2469, \n\n:0.1923, .:0.1322, ,:0.0802,  is:0.0707]
  step 33: [ to:0.2391, \n\n:0.1862, .:0.1280,  is:0.0776, ,:0.0776]
  step 34: [ to:0.2169, \n\n:0.1914, .:0.1316,  is:0.0798, ,:0.0798]
  step 35: [ to:0.2127, \n\n:0.1657, .:0.1290,  is:0.0887, ,:0.0783]
  step 36: [ to:0.2019, \n\n:0.1573, .:0.1388,  is:0.0842, ,:0.0842]
  step 37: [ to:0.1925, \n\n:0.1500, .:0.1323,  is:0.0909, ,:0.0803]
  step 38: [ to:0.1876, \n\n:0.1461, .:0.1461,  is:0.0886, ,:0.0782]
  step 39: [ to:0.1747, \n\n:0.1360, .:0.1360,  is:0.0935, ,:0.0825]

=== Case 38 ===
  Agent: Planner
  step 0: [</think>:0.2508, [':0.2214, 1:0.0634, -:0.0339, **:0.0193]
  step 1: [\n\n:0.9980, \n:0.0019,  to:0.0000,  \n\n:0.0000, \n\t\n:0.0000]
  step 2: [ to:0.7641, \n\n:0.1505,  is:0.0261, :\n\n:0.0204,  for:0.0124]
  step 3: [\n\n:0.6446,  plan:0.2093,  to:0.0467, :\n\n:0.0250,  is:0.0152]
  step 4: [\n\n:0.9283, \n:0.0132,  plan:0.0117,  the:0.0080, :\n\n:0.0071]
  step 5: [\n\n:0.9988, \n:0.0012,  to:0.0000,   \n:0.0000,   \n\n:0.0000]
  step 6: [\n\n:0.9968, \n:0.0032,  to:0.0000,   \n:0.0000,   \n\n:0.0000]
  step 7: [\n\n:0.9932, \n:0.0067,  to:0.0001,   \n:0.0000,   \n\n:0.0000]
  step 8: [\n\n:0.9914, \n:0.0076,  to:0.0009,  the:0.0000,   \n:0.0000]
  step 9: [\n\n:0.9800, \n:0.0123,  to:0.0066,  the:0.0003, .:0.0002]
  step 10: [\n\n:0.9586,  to:0.0199, \n:0.0176,  the:0.0013, .:0.0008]
  step 11: [\n\n:0.9276,  to:0.0408, \n:0.0218,  the:0.0030, .:0.0020]
  step 12: [\n\n:0.8791,  to:0.0722, \n:0.0265,  the:0.0059, .:0.0052]
  step 13: [\n\n:0.8458,  to:0.0891, \n:0.0289, .:0.0094,  the:0.0083]
  step 14: [\n\n:0.7894,  to:0.1211, \n:0.0306, .:0.0145,  the:0.0128]
  step 15: [\n\n:0.7662,  to:0.1175, \n:0.0337, .:0.0204,  the:0.0159]
  step 16: [\n\n:0.7200,  to:0.1251, \n:0.0358, .:0.0316,  the:0.0217]
  step 17: [\n\n:0.6601,  to:0.1473, .:0.0422, \n:0.0372,  the:0.0256]
  step 18: [\n\n:0.6301,  to:0.1406, .:0.0517, \n:0.0403,  the:0.0277]
  step 19: [\n\n:0.5588,  to:0.1601, .:0.0589, \n:0.0405,  the:0.0357]
  step 20: [\n\n:0.5285,  to:0.1514, .:0.0715,  the:0.0383, \n:0.0383]
  step 21: [\n\n:0.5116,  to:0.1466, .:0.0692, \n:0.0420,  the:0.0371]
  step 22: [\n\n:0.4574,  to:0.1485, .:0.0795,  the:0.0425, \n:0.0425]
  step 23: [\n\n:0.4189,  to:0.1541, .:0.0825,  the:0.0442, \n:0.0390]
  step 24: [\n\n:0.4134,  to:0.1342, .:0.0922,  the:0.0436, \n:0.0361]
  step 25: [\n\n:0.3754,  to:0.1381, .:0.0949,  the:0.0477, \n:0.0349]
  step 26: [\n\n:0.3686,  to:0.1197, .:0.0932,  the:0.0499, \n:0.0365]
  step 27: [\n\n:0.3124,  to:0.1302, .:0.1014,  the:0.0510, \n:0.0350]
  step 28: [\n\n:0.2950,  to:0.1085, .:0.1085,  the:0.0513, \n:0.0331]
  step 29: [\n\n:0.2830,  to:0.1041, .:0.1041,  the:0.0523, \n:0.0338]
  step 30: [\n\n:0.2752, .:0.1147,  to:0.0951,  the:0.0478, \n:0.0309]
  step 31: [\n\n:0.2410, .:0.1069,  to:0.0944,  the:0.0538, \n:0.0306]
  step 32: [\n\n:0.2295, .:0.1154,  to:0.0899,  the:0.0512, ?:0.0292]
  step 33: [\n\n:0.2243, .:0.1059,  to:0.0825,  the:0.0500, ?:0.0303]
  step 34: [\n\n:0.2046, .:0.1095,  to:0.0801,  the:0.0486, ?:0.0334]
  step 35: [\n\n:0.1996, .:0.1068,  to:0.0734,  the:0.0505, ?:0.0347]
  step 36: [\n\n:0.1885, .:0.1074,  to:0.0693,  the:0.0477, ?:0.0349]
  step 37: [\n\n:0.1724, .:0.1045,  to:0.0675,  the:0.0494, ?:0.0361]
  step 38: [\n\n:0.1663, .:0.1074,  to:0.0612,  the:0.0477, ?:0.0371]
  step 39: [\n\n:0.1568, .:0.1078,  to:0.0577,  the:0.0449, ?:0.0396]

=== Case 39 ===
  Agent: Planner
  step 0: [</think>:0.8608, <|im_start|>:0.0801, \n\n:0.0486, <|im_end|>:0.0024, \n\n\n:0.0024]
  step 1: [\n\n:0.9981, \n:0.0019, \n\n\n:0.0000,  is:0.0000, .:0.0000]
  step 2: [\n\n:0.8276,  is:0.0872,  to:0.0467, :\n\n:0.0104,  should:0.0092]
  step 3: [\n\n:0.9822,  the:0.0040, :\n\n:0.0031, \n:0.0021,  to:0.0015]
  step 4: [\n\n:0.9977, \n:0.0007, \n\t\n:0.0006,  \n\n:0.0004,  the:0.0003]
  step 5: [\n\n:0.9997, \n:0.0003, \n\n\n:0.0000, \n    \n:0.0000, \n \n:0.0000]
  step 6: [ related:0.3375, <space>:0.2047,  is:0.0664,  to:0.0664,  can:0.0457]
  step 7: [\n\n:0.9998, \n:0.0002,  to:0.0000, .:0.0000, ,:0.0000]
  step 8: [\n\n:0.9990, \n:0.0009,  to:0.0001, .:0.0000, ,:0.0000]
  step 9: [\n\n:0.9960,  to:0.0015, \n:0.0015, .:0.0004, ,:0.0004]
  step 10: [\n\n:0.9784,  to:0.0123, .:0.0031, \n:0.0024, ,:0.0024]
  step 11: [\n\n:0.9502,  to:0.0287, .:0.0082, ,:0.0064, \n:0.0030]
  step 12: [\n\n:0.9070,  to:0.0512, .:0.0166, ,:0.0129, \n:0.0042]
  step 13: [\n\n:0.8752,  to:0.0634, .:0.0264, ,:0.0182, \n:0.0041]
  step 14: [\n\n:0.7952,  to:0.1076, .:0.0396, ,:0.0272,  is:0.0069]
  step 15: [\n\n:0.7547,  to:0.1157, .:0.0547, ,:0.0332,  is:0.0095]
  step 16: [\n\n:0.6883,  to:0.1355, .:0.0725, ,:0.0440,  is:0.0143]
  step 17: [\n\n:0.6427,  to:0.1434, .:0.0870, ,:0.0528,  is:0.0171]
  step 18: [\n\n:0.5934,  to:0.1500, .:0.1031, ,:0.0625,  is:0.0230]
  step 19: [\n\n:0.5269,  to:0.1711, .:0.1176, ,:0.0713,  is:0.0297]
  step 20: [\n\n:0.4990,  to:0.1620, .:0.1262, ,:0.0765,  is:0.0361]
  step 21: [\n\n:0.4527,  to:0.1666, .:0.1470, ,:0.0787,  is:0.0421]
  step 22: [\n\n:0.4208,  to:0.1754, .:0.1548, ,:0.0829,  is:0.0444]
  step 23: [\n\n:0.3933,  to:0.1640, .:0.1640, ,:0.0878,  is:0.0470]
  step 24: [\n\n:0.3588,  to:0.1695, .:0.1695, ,:0.0907,  is:0.0550]
  step 25: [\n\n:0.3512,  to:0.1659, .:0.1659, ,:0.0888,  is:0.0610]
  step 26: [\n\n:0.3349, .:0.1793,  to:0.1582, ,:0.0847,  is:0.0660]
  step 27: [\n\n:0.3111, .:0.1887,  to:0.1469, ,:0.0891,  is:0.0694]
  step 28: [\n\n:0.2818, .:0.1937,  to:0.1508, ,:0.0915,  is:0.0712]
  step 29: [\n\n:0.2786, .:0.1915,  to:0.1491,  is:0.0798, ,:0.0798]
  step 30: [\n\n:0.2565, .:0.1998,  to:0.1373,  is:0.0833, ,:0.0833]
  step 31: [\n\n:0.2536, .:0.1975,  to:0.1357,  is:0.0823, ,:0.0823]
  step 32: [\n\n:0.2310, .:0.2039,  to:0.1237,  is:0.0850, ,:0.0850]
  step 33: [\n\n:0.2142, .:0.2142,  to:0.1299,  is:0.0893, ,:0.0788]
  step 34: [\n\n:0.2043, .:0.2043,  to:0.1239,  is:0.0965, ,:0.0852]
  step 35: [\n\n:0.2090, .:0.2090,  to:0.1118,  is:0.0987, ,:0.0769]
  step 36: [.:0.2128, \n\n:0.1878,  to:0.1139,  is:0.1005, ,:0.0783]
  step 37: [\n\n:0.1996, .:0.1996,  to:0.1069,  is:0.0943, ,:0.0832]
  step 38: [.:0.2064, \n\n:0.1822,  is:0.1105,  to:0.0975, ,:0.0759]
  step 39: [.:0.2022, \n\n:0.1784,  to:0.1082,  is:0.1082, ,:0.0656]

=== Case 20 ===
  Agent: Critic
  step 0: [Human:0.5716, Given:0.0469, You:0.0322, A:0.0322, In:0.0251]
  step 1: [ the:0.2457, \n\n:0.1689,  is:0.0621,  a:0.0548,  you:0.0515]
  step 2: [ the:0.1389,  is:0.0656, .:0.0616, \n\n:0.0544, <space>:0.0451]
  step 3: [ the:0.2036, \n\n:0.0797, .:0.0749, <space>:0.0661,  your:0.0548]
  step 4: [ the:0.2251, \n\n:0.1753, .:0.0828, <space>:0.0686, \n:0.0645]
  step 5: [.:0.1816, \n\n:0.1816, ,:0.0972,  to:0.0459,  is:0.0405]
  step 6: [.:0.1749, \n\n:0.1749, ,:0.0936,  is:0.0442,  to:0.0442]
  step 7: [.:0.1685, \n\n:0.1685, ,:0.0902,  is:0.0426,  to:0.0426]
  step 8: [.:0.1719, \n\n:0.1719, ,:0.0920,  is:0.0435,  to:0.0435]
  step 9: [.:0.1635, \n\n:0.1635, ,:0.0992,  is:0.0468,  to:0.0413]
  step 10: [.:0.1684, \n\n:0.1486, ,:0.1021,  is:0.0426,  to:0.0426]
  step 11: [.:0.1633, \n\n:0.1441, ,:0.0990,  is:0.0468,  to:0.0413]
  step 12: [.:0.1638, \n\n:0.1446, ,:0.0994,  is:0.0469,  to:0.0414]
  step 13: [.:0.1723, \n\n:0.1342, ,:0.0922,  is:0.0494,  to:0.0409]
  step 14: [.:0.1729, \n\n:0.1346, ,:0.0925,  is:0.0495,  to:0.0411]
  step 15: [.:0.1633, \n\n:0.1271, ,:0.0990,  is:0.0530,  to:0.0413]
  step 16: [.:0.1762, \n\n:0.1211, ,:0.0943,  is:0.0505,  to:0.0393]
  step 17: [.:0.1645, \n\n:0.1131, ,:0.0998,  is:0.0534,  to:0.0391]
  step 18: [.:0.1694, \n\n:0.1164, ,:0.0907,  is:0.0485,  to:0.0402]
  step 19: [.:0.1674, \n\n:0.1150, ,:0.1015,  is:0.0480,  to:0.0398]
  step 20: [.:0.1685, \n\n:0.1022, ,:0.1022,  is:0.0483,  to:0.0400]
  step 21: [.:0.1759, \n\n:0.0941, ,:0.0941,  is:0.0504,  to:0.0392]
  step 22: [.:0.1699, ,:0.1031, \n\n:0.0910,  is:0.0487,  to:0.0379]
  step 23: [.:0.1655, ,:0.1004, \n\n:0.0886,  is:0.0505,  to:0.0369]
  step 24: [.:0.1667, ,:0.1011, \n\n:0.0892,  is:0.0508,  to:0.0372]
  step 25: [.:0.1599, \n\n:0.0970, ,:0.0970,  is:0.0519,  to:0.0380]
  step 26: [.:0.1708, ,:0.1036, \n\n:0.0807,  is:0.0489,  to:0.0358]
  step 27: [.:0.1603, ,:0.0972, \n\n:0.0858,  is:0.0520,  to:0.0358]
  step 28: [.:0.1595, ,:0.0967, \n\n:0.0854,  is:0.0486,  to:0.0356]
  step 29: [.:0.1630, ,:0.0989, \n\n:0.0770,  is:0.0497,  to:0.0364]
  step 30: [.:0.1645, ,:0.0998, \n\n:0.0777,  is:0.0502,  to:0.0345]
  step 31: [.:0.1699, ,:0.1031, \n\n:0.0708,  is:0.0518,  to:0.0335]
  step 32: [.:0.1643, ,:0.0996, \n\n:0.0776,  is:0.0501,  to:0.0344]
  step 33: [.:0.1658, ,:0.1006, \n\n:0.0691,  is:0.0506,  to:0.0348]
  step 34: [.:0.1663, ,:0.1008, \n\n:0.0693,  is:0.0476, ?:0.0327]
  step 35: [.:0.1597, ,:0.0969, \n\n:0.0666,  is:0.0487,  to:0.0356]
  step 36: [.:0.1618, ,:0.0981, \n\n:0.0675,  is:0.0493,  to:0.0339]
  step 37: [.:0.1555, ,:0.1069, \n\n:0.0648,  is:0.0474, ?:0.0347]
  step 38: [.:0.1600, ,:0.0971, \n\n:0.0627,  is:0.0459, ?:0.0357]
  step 39: [.:0.1608, ,:0.0976, \n\n:0.0630,  is:0.0491, ?:0.0337]

=== Case 21 ===
  Agent: Critic
  step 0: [Human:0.6720, A:0.0487, Given:0.0379, You:0.0295, The:0.0179]
  step 1: [\n\n:0.2569,  the:0.2000,  a:0.0736,  is:0.0446,  you:0.0327]
  step 2: [ the:0.1113,  that:0.0765, \n\n:0.0675,  is:0.0526, .:0.0385]
  step 3: [ the:0.1407,  that:0.0708,  this:0.0624, \n\n:0.0518, <space>:0.0457]
  step 4: [ the:0.1627, \n\n:0.1267,  that:0.0871,  this:0.0528, .:0.0528]
  step 5: [.:0.2100, \n\n:0.1274, \n:0.0773, ,:0.0773,  is:0.0531]
  step 6: [.:0.2058, \n\n:0.1248, \n:0.0757, ,:0.0757,  is:0.0520]
  step 7: [.:0.2079, \n\n:0.1261, ,:0.0765, \n:0.0675,  is:0.0526]
  step 8: [.:0.1948, \n\n:0.1182, ,:0.0812, \n:0.0633,  is:0.0558]
  step 9: [.:0.2028, \n\n:0.1085, ,:0.0845, \n:0.0658,  is:0.0581]
  step 10: [.:0.2028, \n\n:0.1085, ,:0.0845,  is:0.0581, \n:0.0581]
  step 11: [.:0.1969, \n\n:0.1054, ,:0.0821,  is:0.0564, \n:0.0564]
  step 12: [.:0.1977, \n\n:0.1058, ,:0.0934,  is:0.0566, \n:0.0566]
  step 13: [.:0.2045, \n\n:0.0966, ,:0.0853,  is:0.0586, \n:0.0517]
  step 14: [.:0.2016, \n\n:0.0952, ,:0.0952,  is:0.0578, \n:0.0510]
  step 15: [.:0.1963, \n\n:0.0927, ,:0.0927,  is:0.0562, \n:0.0496]
  step 16: [.:0.1952, \n\n:0.0922, ,:0.0922,  is:0.0559,  to:0.0494]
  step 17: [.:0.1936, \n\n:0.0914, ,:0.0914,  is:0.0555, \n:0.0489]
  step 18: [.:0.1961, ,:0.0926, \n\n:0.0817,  is:0.0637,  to:0.0496]
  step 19: [.:0.1973, ,:0.0932, \n\n:0.0822,  is:0.0640, \n:0.0440]
  step 20: [.:0.1983, ,:0.0937, \n\n:0.0827,  is:0.0644, \n:0.0442]
  step 21: [.:0.1934, ,:0.1035, \n\n:0.0806,  is:0.0628,  to:0.0489]
  step 22: [.:0.1878, ,:0.1005, \n\n:0.0887,  is:0.0610,  to:0.0475]
  step 23: [.:0.1919, ,:0.1027, \n\n:0.0800,  is:0.0623,  to:0.0485]
  step 24: [.:0.1859, ,:0.0995, \n\n:0.0878,  is:0.0604,  to:0.0470]
  step 25: [.:0.1870, ,:0.1001, \n\n:0.0779,  is:0.0607,  to:0.0473]
  step 26: [.:0.1952, ,:0.1045, \n\n:0.0814,  is:0.0634,  to:0.0436]
  step 27: [.:0.1875, ,:0.1004, \n\n:0.0782,  is:0.0609,  to:0.0474]
  step 28: [.:0.2008, ,:0.1075, \n\n:0.0837,  is:0.0575,  to:0.0448]
  step 29: [.:0.1867, ,:0.1000, \n\n:0.0778,  is:0.0606,  to:0.0472]
  step 30: [.:0.2011, ,:0.0950, \n\n:0.0838,  is:0.0653,  to:0.0449]
  step 31: [.:0.1936, ,:0.1036, \n\n:0.0807,  is:0.0629,  to:0.0432]
  step 32: [.:0.1971, ,:0.1055, \n\n:0.0822,  is:0.0640,  to:0.0440]
  step 33: [.:0.1873, ,:0.1002, \n\n:0.0885,  is:0.0608,  to:0.0473]
  step 34: [.:0.1827, ,:0.1108, \n\n:0.0863,  is:0.0593,  to:0.0462]
  step 35: [.:0.1935, ,:0.1036, \n\n:0.0807,  is:0.0628,  to:0.0489]
  step 36: [.:0.1988, ,:0.1064, \n\n:0.0829,  is:0.0570,  to:0.0503]
  step 37: [.:0.2048, ,:0.1096, \n\n:0.0854,  is:0.0587,  to:0.0457]
  step 38: [.:0.2025, ,:0.1084, \n\n:0.0844,  is:0.0580,  to:0.0452]
  step 39: [.:0.2073, ,:0.0979, \n\n:0.0864,  is:0.0594,  to:0.0463]

=== Case 22 ===
  Agent: Critic
  step 0: [Human:0.6893, A:0.0441, You:0.0236, How:0.0208, The:0.0184]
  step 1: [.:0.3399, \n\n:0.3399, \n:0.0974, ,:0.0432, \t:0.0231]
  step 2: [.:0.6888, .\n\n:0.0251, .t:0.0236, \n\n:0.0221, \t:0.0221]
  step 3: [.:0.7287, .t:0.0320, .\n\n:0.0320, ..:0.0220, \t:0.0207]
  step 4: [.:0.7583, ..:0.0622, .\n\n:0.0428, .t:0.0259, .\n:0.0157]
  step 5: [.:0.4284, \n\n:0.2599, .\n\n:0.1227, \n\t\n:0.0310, ..:0.0310]
  step 6: [.:0.4775, \n\n:0.2255, .\n\n:0.1065, ..:0.0346, ..\n\n:0.0238]
  step 7: [.:0.4945, \n\n:0.2061, .\n\n:0.1103, ..:0.0358, ..\n\n:0.0246]
  step 8: [.:0.4647, \n\n:0.2195, .\n\n:0.1175, ..:0.0381, ..\n\n:0.0262]
  step 9: [.:0.5066, \n\n:0.1864, .\n\n:0.1130, ..:0.0416, ..\n\n:0.0252]
  step 10: [.:0.4917, \n\n:0.1809, .\n\n:0.1243, ..:0.0457, ..\n\n:0.0277]
  step 11: [.:0.4864, \n\n:0.1789, .\n\n:0.1230, ..:0.0452, ..\n\n:0.0274]
  step 12: [.:0.4892, \n\n:0.1800, .\n\n:0.1237, ..:0.0455, ..\n\n:0.0276]
  step 13: [.:0.4713, \n\n:0.1734, .\n\n:0.1350, ..:0.0497, ..\n\n:0.0301]
  step 14: [.:0.4964, \n\n:0.1612, .\n\n:0.1255, ..:0.0523, ..\n\n:0.0317]
  step 15: [.:0.4926, \n\n:0.1599, .\n\n:0.1245, ..:0.0519, ..\n\n:0.0315]
  step 16: [.:0.4922, \n\n:0.1598, .\n\n:0.1244, ..:0.0519, ..\n\n:0.0357]
  step 17: [.:0.4604, \n\n:0.1694, .\n\n:0.1319, ..:0.0550, ..\n\n:0.0378]
  step 18: [.:0.4701, \n\n:0.1526, .\n\n:0.1347, ..:0.0561, ..\n\n:0.0386]
  step 19: [.:0.4616, .\n\n:0.1499, \n\n:0.1499, ..:0.0551, ..\n\n:0.0379]
  step 20: [.:0.4864, .\n\n:0.1393, \n\n:0.1393, ..:0.0581, ..\n\n:0.0352]
  step 21: [.:0.4828, .\n\n:0.1383, \n\n:0.1383, ..:0.0577, ..\n\n:0.0350]
  step 22: [.:0.4815, .\n\n:0.1380, \n\n:0.1380, ..:0.0575, ..\n\n:0.0395]
  step 23: [.:0.4529, .\n\n:0.1470, \n\n:0.1470, ..:0.0613, ..\n\n:0.0421]
  step 24: [.:0.4571, .\n\n:0.1484, \n\n:0.1484, ..:0.0619, ..\n\n:0.0375]
  step 25: [.:0.4653, .\n\n:0.1511, \n\n:0.1333, ..:0.0630, ..\n\n:0.0382]
  step 26: [.:0.4656, .\n\n:0.1512, \n\n:0.1334, ..:0.0630, ..\n\n:0.0382]
  step 27: [.:0.4653, .\n\n:0.1511, \n\n:0.1333, ..:0.0630, ..\n\n:0.0382]
  step 28: [.:0.4796, .\n\n:0.1557, \n\n:0.1213, ..:0.0573, ..\n\n:0.0394]
  step 29: [.:0.4782, .\n\n:0.1552, \n\n:0.1209, ..:0.0571, ..\n\n:0.0393]
  step 30: [.:0.4767, .\n\n:0.1548, \n\n:0.1205, ..:0.0569, ..\n\n:0.0443]
  step 31: [.:0.4724, .\n\n:0.1534, \n\n:0.1194, ..:0.0639, ..\n\n:0.0439]
  step 32: [.:0.4563, .\n\n:0.1679, \n\n:0.1154, ..:0.0618, ..\n\n:0.0424]
  step 33: [.:0.4832, .\n\n:0.1569, \n\n:0.1078, ..:0.0577, ..\n\n:0.0449]
  step 34: [.:0.4724, .\n\n:0.1534, \n\n:0.1194, ..:0.0639, ..\n\n:0.0439]
  step 35: [.:0.4537, .\n\n:0.1669, \n\n:0.1147, ..:0.0614, ..\n\n:0.0478]
  step 36: [.:0.4585, .\n\n:0.1687, \n\n:0.1159, ..:0.0620, ..\n\n:0.0426]
  step 37: [.:0.4414, .\n\n:0.1840, \n\n:0.1116, ..:0.0597, ..\n\n:0.0465]
  step 38: [.:0.4372, .\n\n:0.1823, \n\n:0.1105, ..:0.0592, ..\n\n:0.0461]
  step 39: [.:0.4647, .\n\n:0.1709, \n\n:0.1037, ..:0.0629, ..\n\n:0.0432]

=== Case 23 ===
  Agent: Critic
  step 0: [Human:0.5020, A:0.0467, Given:0.0412, You:0.0364, In:0.0250]
  step 1: [.:0.4534, \n\n:0.1890,  the:0.0740,  a:0.0309,  to:0.0176]
  step 2: [.:0.4974, \n\n:0.0812, ,:0.0318, .\n\n:0.0248, \n:0.0205]
  step 3: [.:0.5760, \n\n:0.0688, .\n\n:0.0417,  .:0.0269, ,:0.0269]
  step 4: [.:0.5439, \n\n:0.1558, .\n\n:0.0446, <space>:0.0348,  .:0.0307]
  step 5: [.:0.5828, \n\n:0.1892, .\n\n:0.0696, ..:0.0137, \n:0.0107]
  step 6: [.:0.5614, \n\n:0.2065, .\n\n:0.0760, ..:0.0141, \n:0.0103]
  step 7: [.:0.5741, \n\n:0.1864, .\n\n:0.0777, ..:0.0153, ..\n\n:0.0105]
  step 8: [.:0.5863, \n\n:0.1680, .\n\n:0.0793, ..:0.0166, ..\n\n:0.0107]
  step 9: [.:0.5625, \n\n:0.1826, .\n\n:0.0863, ..:0.0181, ..\n\n:0.0117]
  step 10: [.:0.5826, \n\n:0.1669, .\n\n:0.0788, ..:0.0187, ..\n\n:0.0121]
  step 11: [.:0.5753, \n\n:0.1648, .\n\n:0.0882, ..:0.0197, ..\n\n:0.0119]
  step 12: [.:0.5766, \n\n:0.1652, .\n\n:0.0884, ..:0.0197, ..\n\n:0.0120]
  step 13: [.:0.5762, \n\n:0.1457, .\n\n:0.1001, ..:0.0210, ..\n\n:0.0136]
  step 14: [.:0.5867, \n\n:0.1309, .\n\n:0.1020, ..:0.0227, ..\n\n:0.0147]
  step 15: [.:0.5574, \n\n:0.1409, .\n\n:0.1098, ..:0.0245, ..\n\n:0.0158]
  step 16: [.:0.5856, \n\n:0.1307, .\n\n:0.1018, ..:0.0242, ..\n\n:0.0156]
  step 17: [.:0.5851, \n\n:0.1306, .\n\n:0.1017, ..:0.0257, ..\n\n:0.0156]
  step 18: [.:0.5933, \n\n:0.1168, .\n\n:0.1031, ..:0.0261, ..\n\n:0.0168]
  step 19: [.:0.5703, \n\n:0.1272, .\n\n:0.1123, ..:0.0284, ..\n\n:0.0172]
  step 20: [.:0.5935, \n\n:0.1169, .\n\n:0.1031, ..:0.0261, ..\n\n:0.0168]
  step 21: [.:0.5910, .\n\n:0.1164, \n\n:0.1027, ..:0.0294, ..\n\n:0.0178]
  step 22: [.:0.5906, .\n\n:0.1163, \n\n:0.1026, ..:0.0294, ..\n\n:0.0178]
  step 23: [.:0.5888, .\n\n:0.1159, \n\n:0.1023, ..:0.0293, ..\n\n:0.0178]
  step 24: [.:0.5734, .\n\n:0.1280, \n\n:0.0997, ..:0.0324, ..\n\n:0.0184]
  step 25: [.:0.5743, .\n\n:0.1281, \n\n:0.0998, ..:0.0324, ..\n\n:0.0197]
  step 26: [.:0.5724, .\n\n:0.1277, \n\n:0.0995, ..:0.0323, ..\n\n:0.0196]
  step 27: [.:0.5775, .\n\n:0.1289, \n\n:0.0886, ..:0.0326, ..\n\n:0.0198]
  step 28: [.:0.5646, .\n\n:0.1428, \n\n:0.0866, ..:0.0361, ..\n\n:0.0206]
  step 29: [.:0.5809, .\n\n:0.1296, \n\n:0.0891, ..:0.0328, ..\n\n:0.0199]
  step 30: [.:0.5720, .\n\n:0.1276, \n\n:0.0877, ..:0.0366, ..\n\n:0.0222]
  step 31: [.:0.5817, .\n\n:0.1298, \n\n:0.0787, ..:0.0372, ..\n\n:0.0212]
  step 32: [.:0.5796, .\n\n:0.1293, \n\n:0.0784, ..:0.0371, ..\n\n:0.0225]
  step 33: [.:0.5675, .\n\n:0.1435, \n\n:0.0768, ..:0.0386, ..\n\n:0.0220]
  step 34: [.:0.5779, .\n\n:0.1461, \n\n:0.0690, ..:0.0369, ..\n\n:0.0211]
  step 35: [.:0.5453, .\n\n:0.1562, \n\n:0.0738, ..:0.0395, ..\n\n:0.0240]
  step 36: [.:0.5717, .\n\n:0.1446, \n\n:0.0683, ..:0.0389, ..\n\n:0.0222]
  step 37: [.:0.5499, .\n\n:0.1576, \n\n:0.0744, ..:0.0398, ..\n\n:0.0227]
  step 38: [.:0.5495, .\n\n:0.1574, \n\n:0.0744, ..:0.0398, ..\n\n:0.0241]
  step 39: [.:0.5275, .\n\n:0.1713, \n\n:0.0714, ..:0.0407, ..\n\n:0.0247]

=== Case 24 ===
  Agent: Critic
  step 0: [Human:0.5489, Given:0.0451, A:0.0310, Write:0.0273, In:0.0273]
  step 1: [ the:0.5387,  a:0.2246,  human:0.0237,  you:0.0184,  to:0.0163]
  step 2: [.:0.0893,  is:0.0788, <space>:0.0614, \n\n:0.0576,  the:0.0509]
  step 3: [.:0.1360, <space>:0.0935,  the:0.0728, \n\n:0.0643, \n:0.0604]
  step 4: [.:0.1625, \n\n:0.1527, <space>:0.1189, \n:0.0817,  the:0.0562]
  step 5: [\n\n:0.4083, .:0.1099, ::0.0430, <space>:0.0404, \n:0.0335]
  step 6: [\n\n:0.4284, .:0.1083, ::0.0424, <space>:0.0374, \n:0.0330]
  step 7: [\n\n:0.3848, .:0.1174, ::0.0460, <space>:0.0381,  the:0.0358]
  step 8: [\n\n:0.3770, .:0.1224, ::0.0479, <space>:0.0397,  the:0.0351]
  step 9: [\n\n:0.3542, .:0.1303, ::0.0543, <space>:0.0373,  the:0.0351]
  step 10: [\n\n:0.3209, .:0.1338, ::0.0558,  the:0.0383, <space>:0.0383]
  step 11: [\n\n:0.3020, .:0.1340, ::0.0595,  the:0.0409, <space>:0.0409]
  step 12: [\n\n:0.2879, .:0.1360, ::0.0642, <space>:0.0415,  the:0.0390]
  step 13: [\n\n:0.2613, .:0.1399, ::0.0621, <space>:0.0427,  the:0.0401]
  step 14: [\n\n:0.2565, .:0.1461, ::0.0648, <space>:0.0419,  the:0.0393]
  step 15: [\n\n:0.2373, .:0.1439, ::0.0680,  the:0.0412, <space>:0.0412]
  step 16: [\n\n:0.2265, .:0.1557, ::0.0691,  the:0.0419, <space>:0.0419]
  step 17: [\n\n:0.2119, .:0.1551, ::0.0732,  the:0.0417, <space>:0.0417]
  step 18: [\n\n:0.1926, .:0.1500, ::0.0754, <space>:0.0430,  the:0.0404]
  step 19: [\n\n:0.1863, .:0.1544, ::0.0777, <space>:0.0442,  the:0.0416]
  step 20: [\n\n:0.1754, .:0.1548, ::0.0829, <space>:0.0443,  the:0.0417]
  step 21: [.:0.1561, \n\n:0.1561, ::0.0835, <space>:0.0447,  the:0.0395]
